,"[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)",20230401-20230930,20221001-20230331,20220401-20220930,20211001-20220331,20210401-20210930,20201001-20210331,20200401-20200930,20191001-20200331,20190401-20190930,20190301-20190930,20181001-20190331,20171218-20180930
17,ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 당기순이익(손실),"Profit (loss), attributable to owners of parent",포괄손익계산서 [개요],당기순이익(손실)의 귀속 [개요],지배기업의 소유주에게 귀속되는 당기순이익(손실),,,,,4810675706.0,1712400473.0,5808946292.0,2691556650.0,5722267683.0,3017252127.0,3017252127.0,5074884870.0,-7450944851.0
18,entity01276594_udf_IS_2023121213288270OfProfitLossAttributableToOwnersOfParent,계속영업이익,Profit from continuing operations,포괄손익계산서 [개요],당기순이익(손실)의 귀속 [개요],지배기업의 소유주에게 귀속되는 당기순이익(손실),계속영업이익,6900041199.0,8571385794.0,4291483730.0,,,,,,,,,
19,entity01276594_udf_IS_20231212132810461OfProfitLossAttributableToOwnersOfParent,중단영업이익,Profit from discontinued operations,포괄손익계산서 [개요],당기순이익(손실)의 귀속 [개요],지배기업의 소유주에게 귀속되는 당기순이익(손실),중단영업이익,61034017901.0,783516863.0,629861727.0,,,,,,,,,
20,ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분에 귀속되는 당기순이익(손실),"Profit (loss), attributable to non-controlling interests",포괄손익계산서 [개요],당기순이익(손실)의 귀속 [개요],비지배지분에 귀속되는 당기순이익(손실),,,,,1243583561.0,1227975975.0,1123285273.0,-165316600.0,-63976713.0,,0.0,0.0,0.0
21,entity01276594_udf_IS_20231212132822237OfProfitLossAttributableToNoncontrollingInterests,계속영업이익,Profit from continuing operations,포괄손익계산서 [개요],당기순이익(손실)의 귀속 [개요],비지배지분에 귀속되는 당기순이익(손실),계속영업이익,1541210958.0,1532789040.0,1250416437.0,1243583561.0,1227975975.0,1123285273.0,-165316600.0,-63976713.0,,0.0,0.0,0.0
22,entity01276594_udf_IS_20231212132823766OfProfitLossAttributableToNoncontrollingInterests,중단영업이익,Profit from discontinued operations,포괄손익계산서 [개요],당기순이익(손실)의 귀속 [개요],비지배지분에 귀속되는 당기순이익(손실),중단영업이익,0.0,0.0,0.0,,,,,,,,,
23,ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent,"포괄손익, 지배기업의 소유주에게 귀속되는 지분","Comprehensive income, attributable to owners of parent",포괄손익계산서 [개요],포괄손익의 귀속 [개요],"포괄손익, 지배기업의 소유주에게 귀속되는 지분",,67931460638.0,9354902657.0,4921345457.0,4810675706.0,1712400473.0,5808946292.0,2691556650.0,5786244396.0,3017252127.0,3017252127.0,5074884870.0,-7450944851.0
24,ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests,"포괄손익, 비지배지분","Comprehensive income, attributable to non-controlling interests",포괄손익계산서 [개요],포괄손익의 귀속 [개요],"포괄손익, 비지배지분",,1541210958.0,1532789040.0,1250416437.0,1243583561.0,1227975975.0,1123285273.0,-165316600.0,-63976713.0,,0.0,0.0,0.0
25,entity01276594_EarningsPerShareRelativeToShareholdersEquityOfTheParentCompanyOfStatementOfComprehensiveIncomeAbstract,지배기업주주지분에 대한 주당이익,Earnings per share relative to shareholders' equity of the parent company,포괄손익계산서 [개요],지배기업주주지분에 대한 주당이익,,,,,,,,,,,,,,
26,entity01276594_BasicAndDilutedEarningsPerShareFromContinuingOperationsOfEarningsPerShareRelativeToShareholdersEquityOfTheParentCompanyOfStatementOfComprehensiveIncomeAbstract,계속영업 기본 및 희석주당이익,Basic and diluted earnings per share from continuing operations,포괄손익계산서 [개요],지배기업주주지분에 대한 주당이익,계속영업 기본 및 희석주당이익,,61.0,94.0,59.0,,,,,,,,,
27,entity01276594_BasicAndDilutedEarningsPerShareFromDiscontinuedOperationsOfEarningsPerShareRelativeToShareholdersEquityOfTheParentCompanyOfStatementOfComprehensiveIncomeAbstract,중단영업 기본 및 희석주당이익,Basic and diluted earnings per share from discontinued operations,포괄손익계산서 [개요],지배기업주주지분에 대한 주당이익,중단영업 기본 및 희석주당이익,,713.0,10.0,9.0,,,,,,,,,
